"sk_loan_fact","sk_customer","sk_product","sk_branch","sk_employee","sk_collateral_type","sk_date_application","sk_date_approval","sk_date_disbursement","application_id","approval_id","disbursement_id","assessment_id","pledge_id","app_status","requested_amount","approved_amount","disbursed_amount","tenor_months","final_rate","dti_ratio","pd_score","credit_score","appraised_value"
186,58,2,6,46,18,177,178,178,186,186,186,186,186,Under Review,330000000.00,160000000.00,20000000.00,60,14.39,27.76,0.0450,356,210000000.00
187,61,9,7,57,31,188,191,190,187,187,187,187,187,Approved,20000000.00,160000000.00,280000000.00,24,9.36,16.77,0.2831,672,600000000.00
188,64,16,8,68,44,204,207,206,188,188,188,188,188,Rejected,190000000.00,310000000.00,210000000.00,12,15.89,55.22,0.3437,422,150000000.00
189,67,23,9,79,57,221,225,223,189,189,189,189,189,Disbursed,70000000.00,360000000.00,170000000.00,120,14.63,27.13,0.1352,677,320000000.00
190,70,30,10,90,70,233,235,234,190,190,190,190,190,Submitted,20000000.00,80000000.00,170000000.00,60,7.96,52.95,0.1379,654,460000000.00
191,73,37,11,1,83,251,257,254,191,191,191,191,191,Under Review,330000000.00,390000000.00,100000000.00,12,6.65,50.04,0.1366,395,170000000.00
192,76,44,12,12,96,67,69,69,192,192,192,192,192,Approved,60000000.00,220000000.00,160000000.00,120,10.93,28.05,0.1171,745,480000000.00
193,79,51,13,23,9,88,93,92,193,193,193,193,193,Rejected,140000000.00,300000000.00,180000000.00,24,9.20,35.33,0.1922,459,330000000.00
194,82,58,14,34,22,104,107,106,194,194,194,194,194,Disbursed,70000000.00,210000000.00,130000000.00,24,8.62,50.56,0.3393,341,130000000.00
195,85,65,15,45,35,130,135,133,195,195,195,195,195,Submitted,270000000.00,140000000.00,250000000.00,60,15.38,15.60,0.2923,555,230000000.00
196,88,72,16,56,48,147,151,149,196,196,196,196,196,Under Review,390000000.00,90000000.00,310000000.00,120,6.01,55.46,0.0413,322,490000000.00
197,91,79,17,67,61,149,155,151,197,197,197,197,197,Approved,120000000.00,40000000.00,170000000.00,120,12.87,25.74,0.0736,808,260000000.00
198,94,86,18,78,74,172,174,174,198,198,198,198,198,Rejected,330000000.00,30000000.00,240000000.00,60,17.37,24.97,0.3108,362,760000000.00
199,97,93,19,89,87,181,183,182,199,199,199,199,199,Disbursed,360000000.00,50000000.00,320000000.00,60,15.20,30.94,0.0845,814,420000000.00
200,100,100,20,100,100,196,199,198,200,200,200,200,200,Submitted,240000000.00,380000000.00,260000000.00,120,15.66,55.81,0.3219,402,350000000.00
201,3,7,1,11,13,213,216,215,201,201,201,201,201,Under Review,130000000.00,380000000.00,330000000.00,24,16.88,50.17,0.1296,625,250000000.00
202,6,14,2,22,26,229,231,230,202,202,202,202,202,Approved,210000000.00,230000000.00,220000000.00,24,14.10,38.90,0.1228,392,230000000.00
203,9,21,3,33,39,239,246,242,203,203,203,203,203,Rejected,30000000.00,210000000.00,120000000.00,24,9.37,50.23,0.2351,413,500000000.00
204,12,28,4,44,52,59,61,61,204,204,204,204,204,Disbursed,420000000.00,100000000.00,20000000.00,60,7.63,44.45,0.0696,478,440000000.00
205,15,35,5,55,65,76,80,79,205,205,205,205,205,Submitted,380000000.00,170000000.00,220000000.00,12,9.66,20.21,0.1787,625,160000000.00
206,18,42,6,66,78,96,99,98,206,206,206,206,206,Under Review,420000000.00,50000000.00,280000000.00,12,10.13,18.39,0.0973,757,70000000.00
207,21,49,7,77,91,114,121,118,207,207,207,207,207,Approved,280000000.00,200000000.00,180000000.00,60,5.74,52.91,0.0867,684,110000000.00
208,24,56,8,88,4,139,143,141,208,208,208,208,208,Rejected,60000000.00,120000000.00,290000000.00,36,12.79,64.26,0.3137,464,620000000.00
209,27,63,9,99,17,157,164,160,209,209,209,209,209,Disbursed,50000000.00,330000000.00,250000000.00,12,7.34,29.87,0.0426,494,770000000.00
210,30,70,10,10,30,176,177,177,210,210,210,210,210,Submitted,290000000.00,210000000.00,320000000.00,12,14.92,46.91,0.3422,791,210000000.00
211,33,77,11,21,43,186,189,188,211,211,211,211,211,Under Review,440000000.00,190000000.00,110000000.00,36,12.27,37.29,0.0995,696,350000000.00
212,36,84,12,32,56,202,205,204,212,212,212,212,212,Approved,70000000.00,170000000.00,70000000.00,36,11.22,63.28,0.2436,532,800000000.00
213,39,91,13,43,69,219,222,221,213,213,213,213,213,Rejected,470000000.00,140000000.00,290000000.00,12,7.01,37.45,0.3327,829,340000000.00
214,42,98,14,54,82,232,234,233,214,214,214,214,214,Disbursed,450000000.00,310000000.00,20000000.00,60,16.51,42.82,0.1977,564,730000000.00
215,45,5,15,65,95,248,255,251,215,215,215,215,215,Submitted,280000000.00,280000000.00,330000000.00,12,8.67,53.98,0.2772,451,510000000.00
216,48,12,16,76,8,65,67,67,216,216,216,216,216,Under Review,40000000.00,190000000.00,30000000.00,24,16.26,59.48,0.1227,447,670000000.00
217,51,19,17,87,21,85,89,88,217,217,217,217,217,Approved,210000000.00,280000000.00,70000000.00,36,12.76,63.71,0.1607,400,410000000.00
218,54,26,18,98,34,102,105,104,218,218,218,218,218,Rejected,300000000.00,350000000.00,30000000.00,24,16.05,22.95,0.1158,828,240000000.00
219,57,33,19,9,47,126,132,130,219,219,219,219,219,Disbursed,140000000.00,30000000.00,330000000.00,24,8.40,28.70,0.2900,333,220000000.00
220,60,40,20,20,60,145,149,147,220,220,220,220,220,Submitted,130000000.00,380000000.00,150000000.00,60,14.86,49.44,0.1069,658,270000000.00
221,63,47,1,31,73,166,173,170,221,221,221,221,221,Under Review,430000000.00,160000000.00,210000000.00,24,8.53,38.70,0.0550,575,80000000.00
222,66,54,2,42,86,179,180,180,222,222,222,222,222,Approved,290000000.00,250000000.00,400000000.00,60,12.24,56.22,0.1450,558,720000000.00
223,69,61,3,53,99,192,195,194,223,223,223,223,223,Rejected,210000000.00,110000000.00,170000000.00,12,11.71,47.81,0.3337,644,310000000.00
224,72,68,4,64,12,208,212,211,224,224,224,224,224,Disbursed,400000000.00,140000000.00,160000000.00,60,9.62,60.35,0.1476,443,800000000.00
225,75,75,5,75,25,210,214,213,225,225,225,225,225,Submitted,420000000.00,370000000.00,130000000.00,60,14.66,24.06,0.0432,819,400000000.00
226,78,82,6,86,38,228,230,229,226,226,226,226,226,Under Review,430000000.00,90000000.00,390000000.00,12,11.15,59.34,0.1364,528,660000000.00
227,81,89,7,97,51,236,243,239,227,227,227,227,227,Approved,320000000.00,380000000.00,310000000.00,24,16.21,57.71,0.0567,690,590000000.00
228,84,96,8,8,64,57,59,59,228,228,228,228,228,Rejected,220000000.00,380000000.00,330000000.00,24,14.67,17.90,0.1637,640,280000000.00
229,87,3,9,19,77,73,77,76,229,229,229,229,229,Disbursed,100000000.00,220000000.00,350000000.00,120,14.58,16.89,0.0778,713,80000000.00
230,90,10,10,30,90,94,97,96,230,230,230,230,230,Submitted,30000000.00,40000000.00,200000000.00,12,9.08,20.14,0.1811,531,150000000.00
231,93,17,11,41,3,110,117,114,231,231,231,231,231,Under Review,480000000.00,30000000.00,100000000.00,120,8.24,32.96,0.0741,645,580000000.00
232,96,24,12,52,16,137,141,139,232,232,232,232,232,Approved,480000000.00,80000000.00,30000000.00,12,13.34,27.79,0.1918,473,130000000.00
233,99,31,13,63,29,154,161,157,233,233,233,233,233,Rejected,460000000.00,280000000.00,350000000.00,12,13.44,22.66,0.2464,689,450000000.00
234,2,38,14,74,42,175,176,176,234,234,234,234,234,Disbursed,410000000.00,140000000.00,180000000.00,120,12.81,45.88,0.1061,728,700000000.00
235,5,45,15,85,55,184,187,186,235,235,235,235,235,Submitted,140000000.00,90000000.00,330000000.00,36,15.52,61.66,0.1224,602,180000000.00
236,8,52,16,96,68,200,203,202,236,236,236,236,236,Under Review,70000000.00,200000000.00,220000000.00,120,9.82,38.21,0.0439,562,120000000.00
237,11,59,17,7,81,217,220,219,237,237,237,237,237,Approved,490000000.00,250000000.00,130000000.00,12,15.28,59.73,0.3347,309,180000000.00
238,14,66,18,18,94,231,233,232,238,238,238,238,238,Rejected,270000000.00,120000000.00,390000000.00,60,6.74,59.31,0.0667,694,140000000.00
239,17,73,19,29,7,245,252,248,239,239,239,239,239,Disbursed,380000000.00,90000000.00,300000000.00,60,16.15,51.36,0.3132,688,690000000.00
240,20,80,20,40,20,63,65,65,240,240,240,240,240,Submitted,60000000.00,290000000.00,170000000.00,36,13.44,31.92,0.1879,312,190000000.00
241,23,87,1,51,33,82,86,85,241,241,241,241,241,Under Review,240000000.00,220000000.00,190000000.00,60,8.39,38.46,0.1786,355,690000000.00
242,26,94,2,62,46,100,103,102,242,242,242,242,242,Approved,340000000.00,220000000.00,330000000.00,24,6.92,55.06,0.1624,712,640000000.00
243,29,1,3,73,59,122,129,126,243,243,243,243,243,Rejected,80000000.00,50000000.00,310000000.00,60,15.30,25.34,0.2383,300,530000000.00
244,32,8,4,84,72,143,147,145,244,244,244,244,244,Disbursed,370000000.00,370000000.00,80000000.00,120,11.76,47.95,0.0107,672,440000000.00
245,35,15,5,95,85,163,171,166,245,245,245,245,245,Submitted,120000000.00,230000000.00,280000000.00,60,6.79,61.51,0.1436,409,310000000.00
246,38,22,6,6,98,178,179,179,246,246,246,246,246,Under Review,420000000.00,340000000.00,130000000.00,120,14.87,41.52,0.0265,768,680000000.00
247,41,29,7,17,11,190,193,192,247,247,247,247,247,Approved,480000000.00,200000000.00,100000000.00,24,10.93,60.80,0.2692,629,500000000.00
248,44,36,8,28,24,206,209,208,248,248,248,248,248,Rejected,280000000.00,240000000.00,100000000.00,120,16.55,61.78,0.2251,606,440000000.00
249,47,43,9,39,37,223,227,226,249,249,249,249,249,Disbursed,340000000.00,200000000.00,290000000.00,120,16.03,62.13,0.2514,418,750000000.00
250,50,50,10,50,50,234,237,235,250,250,250,250,250,Submitted,350000000.00,110000000.00,200000000.00,12,15.57,52.51,0.0647,448,390000000.00
251,53,57,11,61,63,254,258,256,251,251,251,251,251,Under Review,500000000.00,50000000.00,260000000.00,120,16.62,43.06,0.0908,763,430000000.00
252,56,64,12,72,76,69,71,71,252,252,252,252,252,Approved,450000000.00,390000000.00,400000000.00,36,12.06,54.05,0.3058,313,540000000.00
253,59,71,13,83,89,71,74,73,253,253,253,253,253,Rejected,480000000.00,370000000.00,120000000.00,24,8.67,51.75,0.0506,481,420000000.00
254,62,78,14,94,2,93,95,94,254,254,254,254,254,Disbursed,20000000.00,330000000.00,370000000.00,36,14.98,53.68,0.2226,340,450000000.00
255,65,85,15,5,15,108,113,110,255,255,255,255,255,Submitted,60000000.00,230000000.00,200000000.00,36,9.47,41.85,0.0413,488,340000000.00
256,68,92,16,16,28,135,139,137,256,256,256,256,256,Under Review,500000000.00,220000000.00,90000000.00,120,10.08,60.22,0.2187,309,120000000.00
257,71,99,17,27,41,151,158,154,257,257,257,257,257,Approved,180000000.00,220000000.00,80000000.00,120,11.67,40.44,0.1755,325,310000000.00
258,74,6,18,38,54,174,175,175,258,258,258,258,258,Rejected,360000000.00,60000000.00,110000000.00,120,14.46,56.78,0.0799,515,620000000.00
259,77,13,19,49,67,182,185,184,259,259,259,259,259,Disbursed,310000000.00,300000000.00,290000000.00,36,13.06,43.75,0.0874,375,560000000.00
260,80,20,20,60,80,198,201,200,260,260,260,260,260,Submitted,30000000.00,80000000.00,210000000.00,60,8.98,17.28,0.2984,847,710000000.00
261,83,27,1,71,93,215,218,217,261,261,261,261,261,Under Review,200000000.00,210000000.00,250000000.00,60,13.63,34.55,0.2811,331,250000000.00
262,86,34,2,82,6,230,232,231,262,262,262,262,262,Approved,370000000.00,150000000.00,340000000.00,120,10.45,62.35,0.1136,342,510000000.00
263,89,41,3,93,19,242,249,245,263,263,263,263,263,Rejected,120000000.00,310000000.00,60000000.00,24,13.24,43.36,0.0285,558,770000000.00
264,92,48,4,4,32,61,63,63,264,264,264,264,264,Disbursed,440000000.00,140000000.00,300000000.00,12,9.31,21.41,0.2329,502,150000000.00
265,95,55,5,15,45,79,83,82,265,265,265,265,265,Submitted,410000000.00,190000000.00,100000000.00,36,15.58,23.43,0.1165,456,620000000.00
266,98,62,6,26,58,98,101,100,266,266,266,266,266,Under Review,320000000.00,360000000.00,60000000.00,60,7.86,45.33,0.2962,612,240000000.00
267,1,69,7,37,71,118,125,122,267,267,267,267,267,Approved,30000000.00,250000000.00,390000000.00,120,10.21,28.03,0.3140,714,260000000.00
268,4,76,8,48,84,141,145,143,268,268,268,268,268,Rejected,100000000.00,340000000.00,120000000.00,60,7.18,57.40,0.2842,392,280000000.00
269,7,83,9,59,97,160,167,163,269,269,269,269,269,Disbursed,380000000.00,150000000.00,250000000.00,120,11.71,39.38,0.0314,795,120000000.00
270,10,90,10,70,10,177,178,178,270,270,270,270,270,Submitted,320000000.00,250000000.00,60000000.00,60,12.55,43.93,0.2039,631,550000000.00
271,13,97,11,81,23,188,191,190,271,271,271,271,271,Under Review,180000000.00,300000000.00,60000000.00,60,7.49,39.11,0.2154,715,240000000.00
272,16,4,12,92,36,204,207,206,272,272,272,272,272,Approved,430000000.00,320000000.00,120000000.00,36,8.03,35.73,0.1223,491,680000000.00
273,19,11,13,3,49,221,225,223,273,273,273,273,273,Rejected,30000000.00,400000000.00,30000000.00,24,17.13,17.80,0.0978,464,580000000.00
274,22,18,14,14,62,233,235,234,274,274,274,274,274,Disbursed,70000000.00,340000000.00,230000000.00,24,8.67,35.54,0.0585,782,300000000.00
275,25,25,15,25,75,251,257,254,275,275,275,275,275,Submitted,400000000.00,400000000.00,320000000.00,120,6.66,41.14,0.3192,687,260000000.00
276,28,32,16,36,88,67,69,69,276,276,276,276,276,Under Review,360000000.00,290000000.00,320000000.00,120,8.25,36.57,0.1530,793,740000000.00
277,31,39,17,47,1,88,93,92,277,277,277,277,277,Approved,240000000.00,280000000.00,20000000.00,120,8.59,26.63,0.3021,400,760000000.00
278,34,46,18,58,14,104,107,106,278,278,278,278,278,Rejected,380000000.00,180000000.00,290000000.00,120,15.76,30.80,0.1332,307,390000000.00
279,37,53,19,69,27,130,135,133,279,279,279,279,279,Disbursed,410000000.00,240000000.00,270000000.00,36,14.79,42.95,0.1745,508,800000000.00
280,40,60,20,80,40,147,151,149,280,280,280,280,280,Submitted,440000000.00,260000000.00,20000000.00,12,17.07,42.53,0.2470,465,270000000.00
281,43,67,1,91,53,149,155,151,281,281,281,281,281,Under Review,110000000.00,350000000.00,400000000.00,60,8.94,45.45,0.2563,390,580000000.00
282,46,74,2,2,66,172,174,174,282,282,282,282,282,Approved,130000000.00,40000000.00,20000000.00,60,9.82,54.20,0.1836,506,280000000.00
283,49,81,3,13,79,181,183,182,283,283,283,283,283,Rejected,70000000.00,370000000.00,240000000.00,36,16.48,51.85,0.0333,704,430000000.00
284,52,88,4,24,92,196,199,198,284,284,284,284,284,Disbursed,190000000.00,230000000.00,340000000.00,24,16.86,35.36,0.0462,765,440000000.00
285,55,95,5,35,5,213,216,215,285,285,285,285,285,Submitted,360000000.00,320000000.00,60000000.00,120,6.90,37.94,0.1666,686,100000000.00
286,58,2,6,46,18,229,231,230,286,286,286,286,286,Under Review,420000000.00,270000000.00,230000000.00,24,13.58,15.49,0.2929,623,180000000.00
287,61,9,7,57,31,239,246,242,287,287,287,287,287,Approved,370000000.00,170000000.00,180000000.00,24,14.33,49.16,0.3194,662,320000000.00
288,64,16,8,68,44,59,61,61,288,288,288,288,288,Rejected,160000000.00,40000000.00,250000000.00,24,15.68,48.79,0.2356,664,760000000.00
289,67,23,9,79,57,76,80,79,289,289,289,289,289,Disbursed,330000000.00,320000000.00,40000000.00,120,16.78,52.51,0.0536,487,610000000.00
290,70,30,10,90,70,96,99,98,290,290,290,290,290,Submitted,240000000.00,220000000.00,180000000.00,60,9.84,15.42,0.2392,768,190000000.00
291,73,37,11,1,83,114,121,118,291,291,291,291,291,Under Review,370000000.00,250000000.00,190000000.00,36,15.75,39.94,0.0816,782,540000000.00
292,76,44,12,12,96,139,143,141,292,292,292,292,292,Approved,130000000.00,320000000.00,130000000.00,120,15.17,36.61,0.1395,534,260000000.00
293,79,51,13,23,9,157,164,160,293,293,293,293,293,Rejected,330000000.00,50000000.00,180000000.00,24,8.09,43.11,0.2031,846,270000000.00
294,82,58,14,34,22,176,177,177,294,294,294,294,294,Disbursed,420000000.00,380000000.00,360000000.00,12,12.41,35.59,0.1294,566,320000000.00
295,85,65,15,45,35,186,189,188,295,295,295,295,295,Submitted,200000000.00,230000000.00,380000000.00,36,10.56,45.68,0.1677,799,280000000.00
296,88,72,16,56,48,202,205,204,296,296,296,296,296,Under Review,60000000.00,390000000.00,300000000.00,12,11.75,45.27,0.1445,533,530000000.00
297,91,79,17,67,61,219,222,221,297,297,297,297,297,Approved,120000000.00,370000000.00,270000000.00,24,6.15,34.85,0.0425,540,670000000.00
298,94,86,18,78,74,232,234,233,298,298,298,298,298,Rejected,500000000.00,350000000.00,30000000.00,12,15.56,27.37,0.1066,459,230000000.00
299,97,93,19,89,87,248,255,251,299,299,299,299,299,Disbursed,440000000.00,380000000.00,360000000.00,36,10.72,21.76,0.3325,778,650000000.00
300,100,100,20,100,100,65,67,67,300,300,300,300,300,Submitted,240000000.00,240000000.00,360000000.00,60,8.94,22.79,0.0136,391,240000000.00
301,3,7,1,11,13,85,89,88,301,301,301,301,301,Under Review,460000000.00,290000000.00,120000000.00,60,10.24,54.84,0.1964,309,780000000.00
302,6,14,2,22,26,102,105,104,302,302,302,302,302,Approved,260000000.00,130000000.00,90000000.00,24,7.14,52.15,0.2850,732,150000000.00
303,9,21,3,33,39,126,132,130,303,303,303,303,303,Rejected,410000000.00,190000000.00,300000000.00,60,7.00,63.49,0.0175,803,430000000.00
304,12,28,4,44,52,145,149,147,304,304,304,304,304,Disbursed,160000000.00,230000000.00,110000000.00,12,6.46,54.97,0.3493,805,110000000.00
305,15,35,5,55,65,166,173,170,305,305,305,305,305,Submitted,190000000.00,300000000.00,40000000.00,60,8.47,15.63,0.3414,781,560000000.00
306,18,42,6,66,78,179,180,180,306,306,306,306,306,Under Review,310000000.00,90000000.00,210000000.00,12,8.54,46.46,0.0243,784,730000000.00
307,21,49,7,77,91,192,195,194,307,307,307,307,307,Approved,250000000.00,20000000.00,390000000.00,12,17.13,23.37,0.1039,415,380000000.00
308,24,56,8,88,4,208,212,211,308,308,308,308,308,Rejected,460000000.00,50000000.00,110000000.00,120,9.77,45.93,0.3265,391,140000000.00
309,27,63,9,99,17,210,214,213,309,309,309,309,309,Disbursed,80000000.00,180000000.00,330000000.00,24,16.28,24.65,0.2443,624,240000000.00
310,30,70,10,10,30,228,230,229,310,310,310,310,310,Submitted,370000000.00,120000000.00,110000000.00,36,6.33,38.42,0.3050,494,770000000.00
311,33,77,11,21,43,236,243,239,311,311,311,311,311,Under Review,200000000.00,220000000.00,360000000.00,36,14.15,59.15,0.2207,764,370000000.00
312,36,84,12,32,56,57,59,59,312,312,312,312,312,Approved,140000000.00,100000000.00,40000000.00,120,7.64,31.10,0.0427,457,120000000.00
313,39,91,13,43,69,73,77,76,313,313,313,313,313,Rejected,80000000.00,160000000.00,60000000.00,60,12.77,41.29,0.2484,332,530000000.00
314,42,98,14,54,82,94,97,96,314,314,314,314,314,Disbursed,150000000.00,60000000.00,60000000.00,60,15.51,50.42,0.2900,362,120000000.00
315,45,5,15,65,95,110,117,114,315,315,315,315,315,Submitted,350000000.00,280000000.00,380000000.00,12,14.45,27.44,0.2226,844,780000000.00
316,48,12,16,76,8,137,141,139,316,316,316,316,316,Under Review,450000000.00,240000000.00,370000000.00,60,16.33,40.23,0.2336,406,630000000.00
317,51,19,17,87,21,154,161,157,317,317,317,317,317,Approved,250000000.00,300000000.00,20000000.00,60,17.02,42.51,0.2632,631,640000000.00
318,54,26,18,98,34,175,176,176,318,318,318,318,318,Rejected,200000000.00,370000000.00,380000000.00,120,11.64,64.22,0.0830,438,420000000.00
319,57,33,19,9,47,184,187,186,319,319,319,319,319,Disbursed,80000000.00,380000000.00,60000000.00,12,16.51,26.65,0.2858,459,580000000.00
320,60,40,20,20,60,200,203,202,320,320,320,320,320,Submitted,320000000.00,240000000.00,290000000.00,24,16.06,55.42,0.1397,397,490000000.00
321,63,47,1,31,73,217,220,219,321,321,321,321,321,Under Review,90000000.00,340000000.00,110000000.00,24,13.87,41.22,0.1186,311,480000000.00
322,66,54,2,42,86,231,233,232,322,322,322,322,322,Approved,450000000.00,50000000.00,180000000.00,60,12.08,34.72,0.0549,816,800000000.00
323,69,61,3,53,99,245,252,248,323,323,323,323,323,Rejected,270000000.00,170000000.00,190000000.00,120,8.41,47.61,0.0767,438,740000000.00
324,72,68,4,64,12,63,65,65,324,324,324,324,324,Disbursed,220000000.00,240000000.00,300000000.00,120,12.89,32.23,0.2328,723,280000000.00
325,75,75,5,75,25,82,86,85,325,325,325,325,325,Submitted,300000000.00,20000000.00,90000000.00,12,9.62,17.73,0.3326,682,430000000.00
326,78,82,6,86,38,100,103,102,326,326,326,326,326,Under Review,300000000.00,30000000.00,350000000.00,60,10.02,41.16,0.0979,514,250000000.00
327,81,89,7,97,51,122,129,126,327,327,327,327,327,Approved,180000000.00,250000000.00,30000000.00,24,15.87,47.74,0.0128,505,410000000.00
328,84,96,8,8,64,143,147,145,328,328,328,328,328,Rejected,430000000.00,310000000.00,30000000.00,60,12.23,58.34,0.1907,820,710000000.00
329,87,3,9,19,77,163,171,166,329,329,329,329,329,Disbursed,170000000.00,190000000.00,180000000.00,120,15.24,49.22,0.1308,801,710000000.00
330,90,10,10,30,90,178,179,179,330,330,330,330,330,Submitted,30000000.00,280000000.00,110000000.00,120,8.38,19.39,0.1400,455,360000000.00
331,93,17,11,41,3,190,193,192,331,331,331,331,331,Under Review,210000000.00,100000000.00,110000000.00,120,10.66,49.20,0.0788,434,740000000.00
332,96,24,12,52,16,206,209,208,332,332,332,332,332,Approved,220000000.00,210000000.00,190000000.00,12,10.82,53.27,0.3092,421,590000000.00
333,99,31,13,63,29,223,227,226,333,333,333,333,333,Rejected,140000000.00,240000000.00,320000000.00,12,6.45,45.62,0.2128,326,100000000.00
334,2,38,14,74,42,234,237,235,334,334,334,334,334,Disbursed,340000000.00,190000000.00,160000000.00,120,16.90,23.19,0.0869,488,80000000.00
335,5,45,15,85,55,254,258,256,335,335,335,335,335,Submitted,500000000.00,400000000.00,260000000.00,24,14.32,58.34,0.3118,749,120000000.00
336,8,52,16,96,68,69,71,71,336,336,336,336,336,Under Review,270000000.00,350000000.00,40000000.00,120,11.95,37.58,0.2912,849,380000000.00
337,11,59,17,7,81,71,74,73,337,337,337,337,337,Approved,350000000.00,110000000.00,300000000.00,12,11.06,23.32,0.1101,750,730000000.00
338,14,66,18,18,94,93,95,94,338,338,338,338,338,Rejected,480000000.00,310000000.00,220000000.00,120,6.58,23.94,0.2107,438,320000000.00
339,17,73,19,29,7,108,113,110,339,339,339,339,339,Disbursed,470000000.00,260000000.00,40000000.00,12,12.10,34.20,0.2790,760,270000000.00
340,20,80,20,40,20,135,139,137,340,340,340,340,340,Submitted,230000000.00,200000000.00,90000000.00,120,13.02,35.98,0.1152,466,640000000.00
341,23,87,1,51,33,151,158,154,341,341,341,341,341,Under Review,140000000.00,310000000.00,70000000.00,12,10.42,15.29,0.3101,312,670000000.00
342,26,94,2,62,46,174,175,175,342,342,342,342,342,Approved,170000000.00,400000000.00,70000000.00,120,9.08,32.45,0.0594,512,800000000.00
343,29,1,3,73,59,182,185,184,343,343,343,343,343,Rejected,80000000.00,220000000.00,260000000.00,60,9.92,43.95,0.3267,591,450000000.00
344,32,8,4,84,72,198,201,200,344,344,344,344,344,Disbursed,500000000.00,50000000.00,350000000.00,60,6.81,28.72,0.1892,599,330000000.00
345,35,15,5,95,85,215,218,217,345,345,345,345,345,Submitted,320000000.00,330000000.00,330000000.00,120,11.74,43.76,0.2219,737,790000000.00
346,38,22,6,6,98,230,232,231,346,346,346,346,346,Under Review,130000000.00,280000000.00,240000000.00,120,6.05,54.84,0.2607,498,600000000.00
347,41,29,7,17,11,242,249,245,347,347,347,347,347,Approved,20000000.00,230000000.00,380000000.00,24,10.25,42.50,0.2708,560,490000000.00
348,44,36,8,28,24,61,63,63,348,348,348,348,348,Rejected,130000000.00,230000000.00,280000000.00,24,11.05,39.07,0.2232,790,750000000.00
349,47,43,9,39,37,79,83,82,349,349,349,349,349,Disbursed,350000000.00,360000000.00,380000000.00,36,15.61,63.48,0.1054,848,550000000.00
350,50,50,10,50,50,98,101,100,350,350,350,350,350,Submitted,130000000.00,150000000.00,130000000.00,120,11.80,39.85,0.0908,622,450000000.00
351,53,57,11,61,63,118,125,122,351,351,351,351,351,Under Review,250000000.00,210000000.00,110000000.00,12,14.81,24.51,0.3240,754,740000000.00
352,56,64,12,72,76,141,145,143,352,352,352,352,352,Approved,350000000.00,230000000.00,40000000.00,24,11.10,61.62,0.2436,770,180000000.00
353,59,71,13,83,89,160,167,163,353,353,353,353,353,Rejected,350000000.00,90000000.00,120000000.00,36,8.77,24.63,0.1041,619,630000000.00
354,62,78,14,94,2,177,178,178,354,354,354,354,354,Disbursed,90000000.00,170000000.00,210000000.00,12,7.56,28.55,0.3307,826,800000000.00
355,65,85,15,5,15,188,191,190,355,355,355,355,355,Submitted,360000000.00,240000000.00,140000000.00,60,9.25,17.69,0.1550,329,640000000.00
356,68,92,16,16,28,204,207,206,356,356,356,356,356,Under Review,70000000.00,160000000.00,110000000.00,60,16.87,30.52,0.2291,395,670000000.00
357,71,99,17,27,41,221,225,223,357,357,357,357,357,Approved,250000000.00,240000000.00,100000000.00,60,12.75,20.64,0.1727,632,430000000.00
358,74,6,18,38,54,233,235,234,358,358,358,358,358,Rejected,80000000.00,370000000.00,320000000.00,60,7.41,38.05,0.2108,633,380000000.00
359,77,13,19,49,67,251,257,254,359,359,359,359,359,Disbursed,60000000.00,380000000.00,90000000.00,36,15.54,32.11,0.2460,741,160000000.00
360,80,20,20,60,80,67,69,69,360,360,360,360,360,Submitted,220000000.00,220000000.00,50000000.00,120,11.43,20.44,0.2868,480,550000000.00
361,83,27,1,71,93,88,93,92,361,361,361,361,361,Under Review,150000000.00,210000000.00,210000000.00,24,12.34,34.50,0.2065,450,470000000.00
362,86,34,2,82,6,104,107,106,362,362,362,362,362,Approved,470000000.00,20000000.00,240000000.00,36,13.94,29.71,0.1355,308,130000000.00
363,89,41,3,93,19,130,135,133,363,363,363,363,363,Rejected,200000000.00,140000000.00,250000000.00,12,12.17,36.76,0.0818,703,240000000.00
364,92,48,4,4,32,147,151,149,364,364,364,364,364,Disbursed,110000000.00,70000000.00,280000000.00,36,7.15,59.24,0.2337,437,240000000.00
365,95,55,5,15,45,149,155,151,365,365,365,365,365,Submitted,460000000.00,380000000.00,170000000.00,120,11.48,37.50,0.1308,484,70000000.00
366,98,62,6,26,58,172,174,174,366,366,366,366,366,Under Review,190000000.00,110000000.00,350000000.00,60,14.26,50.24,0.0485,675,170000000.00
367,1,69,7,37,71,181,183,182,367,367,367,367,367,Approved,310000000.00,360000000.00,320000000.00,120,14.84,41.96,0.2071,390,500000000.00
368,4,76,8,48,84,196,199,198,368,368,368,368,368,Rejected,340000000.00,180000000.00,320000000.00,60,6.24,16.77,0.3238,731,790000000.00
369,7,83,9,59,97,213,216,215,369,369,369,369,369,Disbursed,380000000.00,190000000.00,20000000.00,12,15.79,18.84,0.2765,327,420000000.00
370,10,90,10,70,10,229,231,230,370,370,370,370,370,Submitted,400000000.00,230000000.00,110000000.00,24,17.31,50.04,0.1749,757,110000000.00
371,13,97,11,81,23,239,246,242,371,371,371,371,371,Under Review,330000000.00,50000000.00,270000000.00,60,7.51,51.72,0.1273,750,210000000.00
372,16,4,12,92,36,59,61,61,372,372,372,372,372,Approved,210000000.00,260000000.00,350000000.00,60,13.64,22.26,0.3059,688,640000000.00
